Reporting Entity,Facility Name,Type,Electricity Production GJ,Greenhouse Gas Emissions Scope 1 t CO2 e,Greenhouse Gas Emissions Scope 2 t CO2 e,Greenhouse Gas Emissions Total Emissions t CO2 e,Important notes
APT PIPELINES LIMITED,Corporate Total,C,869699,96,417.0,513,N/A
ARROW (GENERATION) PTY. LTD.,Daandine Power Station,F,862344,121053,11.0,121064,N/A
ARROW (GENERATION) PTY. LTD.,Corporate Total,C,862344,121053,11.0,121064,N/A
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,4450259,738117,2431.0,740548,N/A
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,4450259,738117,2431.0,740548,N/A
ATCO AUSTRALIA PTY. LTD.,Bulwer Island Energy Partnership facility,F,722135,126919,57794.0,184713,N/A
ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,1607543,255161,27.0,255188,N/A
ATCO AUSTRALIA PTY. LTD.,Osborne facility,F,5240191,607902,446.0,608348,N/A
ATCO AUSTRALIA PTY. LTD.,Corporate Total,C,7569869,989982,58267.0,1048249,N/A
AURORA ENERGY PTY LTD,Alfred Hospital Cogeneration Plant,F,15351,4176,151.0,4327,N/A
AURORA ENERGY PTY LTD,Dandenong Hospital Cogeneration Plant,F,15611,3044,100.0,3144,N/A
AURORA ENERGY PTY LTD,Geelong Hospital Cogeneration Plant,F,15617,3133,144.0,3277,N/A
AURORA ENERGY PTY LTD,Royal Melbourne Hospital Cogeneration Plant,F,32530,6702,257.0,6959,N/A
AURORA ENERGY PTY LTD,ST. Vincent's Hospital Cogeneration Plant,F,15689,3599,136.0,3735,N/A
AURORA ENERGY PTY LTD,Corporate Total,C,94798,20654,788.0,21442,N/A
AUSGRID,Renewable Generators,FA,1596,0,0.0,0,N/A
AUSGRID,Corporate Total,C,1596,0,0.0,0,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,18,22,23.0,45,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,8140,121,26.0,147,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,104409,1436,2.0,1438,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,120796,1666,2.0,1668,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,Corporate Total,C,233363,3245,53.0,3298,N/A
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,3560754,480237,0.0,480237,N/A
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,3560754,480237,0.0,480237,N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,2224523,275211,1425.0,276636,N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,2224523,275211,1425.0,276636,N/A
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,5337204,1298437,4138.0,1302575,N/A
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,5337204,1298437,4138.0,1302575,N/A
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,5612266,1302864,1045.0,1303909,N/A
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,5612266,1302864,1045.0,1303909,N/A
C S ENERGY LIMITED,Callide A Power Station,F,409187,141934,56845.0,198779,N/A
C S ENERGY LIMITED,Callide B Power Station,F,10106903,2631316,40116.0,2671432,N/A
C S ENERGY LIMITED,Callide C Power Station,F,11169718,2886053,22084.0,2908137,Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice.
C S ENERGY LIMITED,Kogan Creek Power Station,F,19052266,4282360,3551.0,4285911,N/A
C S ENERGY LIMITED,Wivenhoe Power Station,F,49481,23,45642.0,45665,N/A
C S ENERGY LIMITED,Corporate Total,C,40787555,9941686,168238.0,10109924,N/A
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,471574,17,139.0,156,N/A
CANUNDA POWER PTY LTD,Corporate Total,C,471574,17,139.0,156,N/A
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,172312,1033,1486.0,2519,N/A
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,73710,525,1164.0,1689,N/A
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,246022,1558,2650.0,4208,N/A
CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,508497,93694,0.0,93694,N/A
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,58820,11673,0.0,11673,N/A
CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,567317,105367,0.0,105367,N/A
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,2507946,213,914.0,1127,N/A
CWF HOLDINGS PTY LTD,Corporate Total,C,2507946,213,914.0,1127,N/A
DELTA ELECTRICITY,Chichester mini-hydro PS,F,702,0,0.0,0,N/A
DELTA ELECTRICITY,Colongra PS,F,49826,8796,6907.0,15703,N/A
DELTA ELECTRICITY,Dungog mini-hydro PS,F,24,0,2.0,2,N/A
DELTA ELECTRICITY,Mt Piper Power Station,F,6773852,1587906,1542.0,1589448,N/A
DELTA ELECTRICITY,Vales Point Power Station,F,24531572,5661311,39237.0,5700548,N/A
DELTA ELECTRICITY,Wallerawang Power Station,F,3978670,963061,7151.0,970212,N/A
DELTA ELECTRICITY,Corporate Total,C,35334646,8221074,54839.0,8275913,N/A
DIAMANTINA HOLDING COMPANY PTY LIMITED,Diamintina Power Station,F,909276,160330,315.0,160645,N/A
DIAMANTINA HOLDING COMPANY PTY LIMITED,Corporate Total,C,909276,160330,315.0,160645,N/A
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,103349,24442,7527.0,31969,N/A
ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,788965,114846,22619.0,137465,N/A
ECOGEN HOLDINGS PTY LTD,Corporate Total,C,892314,139288,30146.0,169434,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,369514,10,7.0,17,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel System,FA,6464,80,2.0,82,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,4040873,441903,0.0,441903,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,7041333,1760197,4271.0,1764468,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel System,FA,11602,1563,0.0,1563,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,7883,0,1.0,1,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,57543,0,7.0,7,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Geraldton Gas Turbine Station,F,303,106,0.0,106,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel System,FA,19515,2510,0.0,2510,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Photovoltaic,F,82,0,4.0,4,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,13436,0,8.0,8,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,5647,1498,0.0,1498,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,3483949,595192,790.0,595982,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,17340696,4535573,1983.0,4537556,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,352802,87497,0.0,87497,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,1611464,358050,0.0,358050,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,3386294,593107,60.0,593167,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,37749400,8377286,7133.0,8384419,N/A
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,1496,295,0.0,295,N/A
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,1496,295,0.0,295,N/A
ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,4716,982,447.0,1429,N/A
ENERGEX LIMITED,Energy Impact - Generation,F,2689,521,0.0,521,N/A
ENERGEX LIMITED,Corporate Total,C,7405,1503,447.0,1950,N/A
ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,857860,185531,65.0,185596,N/A
ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,6447,1254,0.0,1254,N/A
ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,5824,1158,0.0,1158,N/A
ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,108753,1512,951.0,2463,N/A
ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,10773,2163,0.0,2163,N/A
ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,84072,1171,13.0,1184,N/A
ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,70164,980,1.0,981,N/A
ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,505352,83011,29.0,83040,N/A
ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,49311,802,4.0,806,N/A
ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,282631,3907,170.0,4077,N/A
ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,43550,8522,0.0,8522,N/A
ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,8006,1512,0.0,1512,N/A
ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,137066,20201,0.0,20201,N/A
ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,6431,1281,0.0,1281,N/A
ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,65070,966,1.0,967,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (NSW),FA,49223,750,9.0,759,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (QLD),FA,6584,103,40.0,143,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (SA),FA,12662,173,12.0,185,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,29611,409,6.0,415,N/A
ENERGY DEVELOPMENTS LIMITED,EDL NGD (QLD),FA,12289,2373,0.0,2373,N/A
ENERGY DEVELOPMENTS LIMITED,EDL NGD (WA),FA,10049,2199,0.0,2199,N/A
ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,52369,8156,0.0,8156,N/A
ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,2780,598,0.0,598,N/A
ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,1100188,165037,0.0,165037,N/A
ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,299247,49014,2.0,49016,N/A
ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,41491,6363,0.0,6363,N/A
ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,57521,926,2.0,928,N/A
ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,58601,11562,9.0,11571,N/A
ENERGY DEVELOPMENTS LIMITED,Laverton Remote Power Station,F,12769,2497,0.0,2497,N/A
ENERGY DEVELOPMENTS LIMITED,Leonora Remote Power Station,F,35399,7152,0.0,7152,N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,84018,1180,3.0,1183,N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,368194,5989,3.0,5992,N/A
ENERGY DEVELOPMENTS LIMITED,McArthur River Power Station,F,646576,110181,0.0,110181,N/A
ENERGY DEVELOPMENTS LIMITED,Meekatharra Remote Power Station,F,28356,5702,0.0,5702,N/A
ENERGY DEVELOPMENTS LIMITED,Menzies Remote Power Station,F,2649,549,0.0,549,N/A
ENERGY DEVELOPMENTS LIMITED,Moranbah North CMM Power Station,F,1143368,179745,0.0,179745,N/A
ENERGY DEVELOPMENTS LIMITED,Mt Magnet Remote Power Station,F,16167,3008,0.0,3008,N/A
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,86055,1395,1.0,1396,N/A
ENERGY DEVELOPMENTS LIMITED,Oaky Creek Power Station,F,324925,51904,6.0,51910,N/A
ENERGY DEVELOPMENTS LIMITED,Pedler Creek LFG Power Station,F,69384,957,1.0,958,N/A
ENERGY DEVELOPMENTS LIMITED,Pine Creek A Power Station,F,623042,91022,0.0,91022,N/A
ENERGY DEVELOPMENTS LIMITED,Sandstone Remote Power Station,F,2261,492,0.0,492,N/A
ENERGY DEVELOPMENTS LIMITED,Springvale LFG Power Station,F,69968,977,5.0,982,N/A
ENERGY DEVELOPMENTS LIMITED,Tahmoor Power Station,F,123355,22031,40.0,22071,N/A
ENERGY DEVELOPMENTS LIMITED,Teralba Power Station,F,65636,11797,4.0,11801,N/A
ENERGY DEVELOPMENTS LIMITED,Tower CSM Power Station,F,882224,170566,4.0,170570,N/A
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,13986,226,21.0,247,N/A
ENERGY DEVELOPMENTS LIMITED,Wiluna Remote Power Station,F,9894,2087,0.0,2087,N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 1 LFG Power Station,F,62052,856,11.0,867,N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 2 LFG Power Station,F,64716,893,1.0,894,N/A
ENERGY DEVELOPMENTS LIMITED,Yalgoo Remote Power Station,F,3847,811,0.0,811,N/A
ENERGY DEVELOPMENTS LIMITED,Yarmun Remote Power Station,F,10105,2035,0.0,2035,N/A
ENERGY DEVELOPMENTS LIMITED,Corporate Total,C,8722871,1235686,1414.0,1237100,N/A
ENERGY WORLD CORPORATION LTD,Brewer Power Station,F,157539,27892,23.0,27915,N/A
ENERGY WORLD CORPORATION LTD,Corporate Total,C,157539,27892,23.0,27915,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,F,715588,57,123.0,180,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Hallett Power Station,F,122209,33387,2929.0,36316,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,27195978,6252622,16205.0,6268827,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,11820631,1165142,603.0,1165745,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Wallerawang Power Station,F,7467464,1730892,30994.0,1761886,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,F,1229935,86,169.0,255,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,F,31243248,11340380,162475.0,11502855,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,79795053,20522566,213498.0,20736064,N/A
ERM POWER LIMITED,Newgen Neerabup Power Station,F,282525,48521,3062.0,51583,N/A
ERM POWER LIMITED,Oakey Power Station,F,207866,44445,2367.0,46812,N/A
ERM POWER LIMITED,Corporate Total,C,490391,92966,5429.0,98395,N/A
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,274842,59812,0.0,59812,N/A
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,274842,59812,0.0,59812,N/A
ESSENTIAL ENERGY,Essential Energy Generation Facilities,FA,2105,661,335.0,996,N/A
ESSENTIAL ENERGY,Corporate Total,C,2105,661,335.0,996,N/A
FPC 30 LIMITED,FPC Green Energy,F,406545,3770,1469.0,5239,N/A
FPC 30 LIMITED,Corporate Total,C,406545,3770,1469.0,5239,N/A
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,866686,139902,0.0,139902,N/A
GOLDFIELDS POWER PTY LTD,Corporate Total,C,866686,139902,0.0,139902,N/A
GREEN STATE POWER PTY LTD,Blayney Wind Farm,F,65569,7,47.0,54,N/A
GREEN STATE POWER PTY LTD,Brown Mountain Power Station,F,45017,8,20.0,28,N/A
GREEN STATE POWER PTY LTD,Burrinjuck Power Station,F,147657,12,150.0,162,N/A
GREEN STATE POWER PTY LTD,Crookwell Wind Farm,F,65569,0,31.0,31,N/A
GREEN STATE POWER PTY LTD,Hume Power Station  NSW,F,845172,22,259.0,281,N/A
GREEN STATE POWER PTY LTD,Hume Power Station Victoria,F,37,0,0.0,0,N/A
GREEN STATE POWER PTY LTD,Keepit Power Station,F,23508,6,31.0,37,N/A
GREEN STATE POWER PTY LTD,Corporate Total,C,1192529,55,538.0,593,N/A
HRL LIMITED,Energy Brix Australia Corporation,F,380164,340160,49197.0,389357,N/A
HRL LIMITED,Corporate Total,C,380164,340160,49197.0,389357,N/A
HYDRO POWER PTY. LIMITED,Wyangala A,F,152832,0,0.0,0,N/A
HYDRO POWER PTY. LIMITED,Corporate Total,C,152832,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,1508095,0,47.0,47,N/A
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,236041,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,952308,0,19.0,19,N/A
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,1643976,0,66.0,66,N/A
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,338904,0,7.0,7,N/A
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,1149916,0,25.0,25,N/A
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,870593,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,13841,2551,4.0,2555,N/A
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,9861508,0,35.0,35,N/A
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,2291092,0,134.0,134,N/A
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,45799,5052,4.0,5056,N/A
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,334823,0,13.0,13,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,30703,0,8.0,8,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,95391,0,50.0,50,N/A
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,1096364,0,48.0,48,N/A
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,1808849,0,424.0,424,N/A
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,1519106,0,72.0,72,N/A
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,758921,0,19.0,19,N/A
HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,F,514262,34,2.0,36,N/A
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,17208,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,5287998,0,1204.0,1204,N/A
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,4086534,0,996.0,996,N/A
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,608916,0,11.0,11,N/A
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,173457,0,3.0,3,N/A
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,3137849,363623,1212.0,364835,N/A
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,2072195,0,92.0,92,N/A
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,31932,0,2.0,2,N/A
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,1930210,0,24.0,24,N/A
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,930969,0,60.0,60,N/A
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,2388446,0,188.0,188,N/A
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,924087,0,25.0,25,N/A
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,512972,0,53.0,53,N/A
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,47173265,371260,4847.0,376107,N/A
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,548625,29,0.0,29,N/A
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,656001,32,0.0,32,N/A
IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,F,161201,8,0.0,8,N/A
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,43452,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,19645,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,739558,16,0.0,16,N/A
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,1279151,153,0.0,153,N/A
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,22042,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,17430,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,F,336675,32,0.0,32,N/A
IFM RENEWABLE ENERGY PTY LTD,Corporate Total,C,3823780,270,0.0,270,N/A
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,1207884,50,594.0,644,N/A
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,635,1,4.0,5,N/A
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,1375232,68,710.0,778,N/A
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,2621451,81,818.0,899,N/A
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,574347,12,278.0,290,N/A
INFIGEN ENERGY LIMITED,Corporate Total,C,5779549,212,2404.0,2616,N/A
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,3183234,465705,0.0,465705,N/A
IPM (KWINANA) PTY LTD,Corporate Total,C,3183234,465705,0.0,465705,N/A
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,26305337,8252486,3944.0,8256430,N/A
IPM AUSTRALIA LIMITED,Corporate Total,C,26305337,8252486,3944.0,8256430,N/A
